,0
0,[CH2]
1,[CH2]=[CH2]
2,[CH2]=[O]
3,[CH2][CH2]
4,[CH2][CH3]
5,[CH2][OH]
6,[CH2][O]
7,[CH3]
8,[CH3][CH3]
9,[CH3][OH]
10,[CH3][O]
11,[CH4]
12,[CH]
13,[CH]#[CH]
14,[CH]=[CH2]
15,[CH]=[CH]
16,[CH]=[O]
17,[CH][CH2]
18,[CH][CH3]
19,[CH][CH]
20,[CH][OH]
21,[CH][O]
22,[C]
23,[C]#[CH]
24,[C]#[C]
25,[C]=[CH2]
26,[C]=[CH]
27,[C]=[C]
28,[C]=[O]
29,[C][CH2]
30,[C][CH3]
31,[C][CH]
32,[C][C]
33,[C][OH]
34,[C][O]
35,[OH2]
36,[OH]
37,[OH][OH]
38,[O]
39,[O]=[O]
40,[O][OH]
41,[O][O]
