SMILES,C,H,O
[CH]=[C]1[C][O]1,3,1,1
[CH]=[C]1[O][O]1,2,1,2
[CH]=[C]=[CH][CH2],4,4,0
[CH]=[C]=[CH][CH3],4,5,0
[CH]=[C]=[CH][OH],3,3,1
[CH]=[C]=[CH][O],3,2,1
[CH]=[C]=[C]=[CH2],4,3,0
[CH]=[C]=[C]=[CH],4,2,0
[CH]=[C]=[C]=[O],3,1,1
[CH]=[C]=[C][CH2],4,3,0
[CH]=[C]=[C][CH3],4,4,0
[CH]=[C]=[C][OH],3,2,1
[CH]=[C]=[C][O],3,1,1
[CH]=[C][CH2][CH2],4,5,0
[CH]=[C][CH2][CH3],4,6,0
[CH]=[C][CH2][OH],3,4,1
[CH]=[C][CH2][O],3,3,1
[CH]=[C][CH]=[CH2],4,4,0
[CH]=[C][CH]=[CH],4,3,0
[CH]=[C][CH]=[O],3,2,1
[CH]=[C][CH][CH2],4,4,0
[CH]=[C][CH][CH3],4,5,0
[CH]=[C][CH][OH],3,3,1
[CH]=[C][CH][O],3,2,1
[CH]=[C][C]#[CH],4,2,0
[CH]=[C][C]=[CH2],4,3,0
[CH]=[C][C]=[CH],4,2,0
[CH]=[C][C]=[O],3,1,1
[CH]=[C][C][CH2],4,3,0
[CH]=[C][C][CH3],4,4,0
[CH]=[C][C][OH],3,2,1
[CH]=[C][C][O],3,1,1
[CH]=[C][O][CH2],3,3,1
[CH]=[C][O][CH3],3,4,1
[CH]=[C][O][OH],2,2,2
[CH]=[C][O][O],2,1,2
[CH][CH2][CH2][CH2],4,7,0
[CH][CH2][CH2][CH3],4,8,0
[CH][CH2][CH2][CH],4,6,0
[CH][CH2][CH2][OH],3,6,1
[CH][CH2][CH2][O],3,5,1
[CH][CH2][CH]=[CH2],4,6,0
[CH][CH2][CH]=[CH],4,5,0
[CH][CH2][CH]=[O],3,4,1
[CH][CH2][CH][CH2],4,6,0
[CH][CH2][CH][CH3],4,7,0
[CH][CH2][CH][OH],3,5,1
[CH][CH2][CH][O],3,4,1
[CH][CH2][C]#[CH],4,4,0
[CH][CH2][C]=[CH2],4,5,0
[CH][CH2][C]=[CH],4,4,0
[CH][CH2][C]=[O],3,3,1
[CH][CH2][C][CH2],4,5,0
[CH][CH2][C][CH3],4,6,0
[CH][CH2][C][OH],3,4,1
[CH][CH2][C][O],3,3,1
[CH][CH2][O][CH2],3,5,1
[CH][CH2][O][CH3],3,6,1
[CH][CH2][O][CH],3,4,1
[CH][CH2][O][OH],2,4,2
[CH][CH2][O][O],2,3,2
[CH][CH]([CH2])[CH2],4,6,0
[CH][CH]([CH2])[CH3],4,7,0
[CH][CH]([CH2])[OH],3,5,1
[CH][CH]([CH2])[O],3,4,1
[CH][CH]([CH3])[CH3],4,8,0
[CH][CH]([CH3])[OH],3,6,1
[CH][CH]([CH3])[O],3,5,1
[CH][CH]([CH])[CH2],4,5,0
[CH][CH]([CH])[CH3],4,6,0
[CH][CH]([CH])[CH],4,4,0
[CH][CH]([CH])[OH],3,4,1
[CH][CH]([CH])[O],3,3,1
[CH][CH]([OH])[OH],2,4,2
[CH][CH]([O])[OH],2,3,2
[CH][CH]([O])[O],2,2,2
[CH][CH]1[CH2][CH2]1,4,6,0
[CH][CH]1[CH2][O]1,3,4,1
[CH][CH]1[CH]=[CH]1,4,4,0
[CH][CH]1[CH][CH2]1,4,5,0
[CH][CH]1[CH][CH]1,4,4,0
[CH][CH]1[CH][O]1,3,3,1
[CH][CH]1[C]#[C]1,4,2,0
[CH][CH]1[C]=[CH]1,4,3,0
[CH][CH]1[C]=[C]1,4,2,0
[CH][CH]1[C][CH2]1,4,4,0
[CH][CH]1[C][CH]1,4,3,0
[CH][CH]1[C][C]1,4,2,0
[CH][CH]1[C][O]1,3,2,1
[CH][CH]1[O][O]1,2,2,2
[CH][CH]=[CH][CH2],4,5,0
[CH][CH]=[CH][CH3],4,6,0
[CH][CH]=[CH][CH],4,4,0
[CH][CH]=[CH][OH],3,4,1
[CH][CH]=[CH][O],3,3,1
[CH][CH]=[C]=[CH2],4,4,0
[CH][CH]=[C]=[CH],4,3,0
[CH][CH]=[C]=[O],3,2,1
[CH][CH]=[C][CH2],4,4,0
[CH][CH]=[C][CH3],4,5,0
[CH][CH]=[C][OH],3,3,1
[CH][CH]=[C][O],3,2,1
[CH][CH][CH2][CH2],4,6,0
[CH][CH][CH2][CH3],4,7,0
[CH][CH][CH2][CH],4,5,0
[CH][CH][CH2][OH],3,5,1
[CH][CH][CH2][O],3,4,1
[CH][CH][CH]=[CH2],4,5,0
[CH][CH][CH]=[CH],4,4,0
[CH][CH][CH]=[O],3,3,1
[CH][CH][CH][CH2],4,5,0
[CH][CH][CH][CH3],4,6,0
[CH][CH][CH][CH],4,4,0
[CH][CH][CH][OH],3,4,1
[CH][CH][CH][O],3,3,1
[CH][CH][C]#[CH],4,3,0
[CH][CH][C]=[CH2],4,4,0
[CH][CH][C]=[CH],4,3,0
[CH][CH][C]=[O],3,2,1
[CH][CH][C][CH2],4,4,0
[CH][CH][C][CH3],4,5,0
[CH][CH][C][OH],3,3,1
[CH][CH][C][O],3,2,1
[CH][CH][O][CH2],3,4,1
[CH][CH][O][CH3],3,5,1
[CH][CH][O][CH],3,3,1
[CH][CH][O][OH],2,3,2
[CH][CH][O][O],2,2,2
[CH][C]#[C][CH2],4,3,0
[CH][C]#[C][CH3],4,4,0
[CH][C]#[C][CH],4,2,0
[CH][C]#[C][OH],3,2,1
[CH][C]#[C][O],3,1,1
[CH][C](=[CH2])[CH3],4,6,0
[CH][C](=[CH2])[OH],3,4,1
[CH][C](=[CH2])[O],3,3,1
[CH][C](=[CH])[CH2],4,4,0
[CH][C](=[CH])[CH3],4,5,0
[CH][C](=[CH])[OH],3,3,1
[CH][C](=[CH])[O],3,2,1
[CH][C](=[O])[OH],2,2,2
[CH][C]([CH2])=[CH2],4,5,0
[CH][C]([CH2])=[O],3,3,1
[CH][C]([CH2])[CH2],4,5,0
[CH][C]([CH2])[CH3],4,6,0
[CH][C]([CH2])[OH],3,4,1
[CH][C]([CH2])[O],3,3,1
[CH][C]([CH3])=[O],3,4,1
[CH][C]([CH3])[CH3],4,7,0
[CH][C]([CH3])[OH],3,5,1
[CH][C]([CH3])[O],3,4,1
[CH][C]([CH])=[CH2],4,4,0
[CH][C]([CH])=[CH],4,3,0
[CH][C]([CH])=[O],3,2,1
[CH][C]([CH])[CH2],4,4,0
[CH][C]([CH])[CH3],4,5,0
[CH][C]([CH])[CH],4,3,0
[CH][C]([CH])[OH],3,3,1
[CH][C]([CH])[O],3,2,1
[CH][C]([OH])[OH],2,3,2
[CH][C]([O])=[O],2,1,2
[CH][C]([O])[OH],2,2,2
[CH][C]([O])[O],2,1,2
[CH][C]1=[CH][CH2]1,4,4,0
[CH][C]1=[CH][CH]1,4,3,0
[CH][C]1=[CH][C]1,4,2,0
[CH][C]1=[CH][O]1,3,2,1
[CH][C]1=[C]=[CH]1,4,2,0
[CH][C]1=[C]=[C]1,4,1,0
[CH][C]1=[C][CH2]1,4,3,0
[CH][C]1=[C][CH]1,4,2,0
[CH][C]1=[C][C]1,4,1,0
[CH][C]1=[C][O]1,3,1,1
[CH][C]1[CH2][CH2]1,4,5,0
[CH][C]1[CH2][O]1,3,3,1
[CH][C]1[CH]=[CH]1,4,3,0
[CH][C]1[CH][CH2]1,4,4,0
[CH][C]1[CH][CH]1,4,3,0
[CH][C]1[CH][O]1,3,2,1
[CH][C]1[C]#[C]1,4,1,0
[CH][C]1[C]=[CH]1,4,2,0
[CH][C]1[C]=[C]1,4,1,0
[CH][C]1[C][CH2]1,4,3,0
[CH][C]1[C][CH]1,4,2,0
[CH][C]1[C][C]1,4,1,0
[CH][C]1[C][O]1,3,1,1
[CH][C]1[O][O]1,2,1,2
[CH][C]=[CH][CH2],4,4,0
[CH][C]=[CH][CH3],4,5,0
[CH][C]=[CH][CH],4,3,0
[CH][C]=[CH][OH],3,3,1
[CH][C]=[CH][O],3,2,1
[CH][C]=[C]=[CH2],4,3,0
[CH][C]=[C]=[CH],4,2,0
[CH][C]=[C]=[O],3,1,1
[CH][C]=[C][CH2],4,3,0
[CH][C]=[C][CH3],4,4,0
[CH][C]=[C][CH],4,2,0
[CH][C]=[C][OH],3,2,1
[CH][C]=[C][O],3,1,1
[CH][C][CH2][CH2],4,5,0
[CH][C][CH2][CH3],4,6,0
[CH][C][CH2][CH],4,4,0
[CH][C][CH2][OH],3,4,1
[CH][C][CH2][O],3,3,1
[CH][C][CH]=[CH2],4,4,0
[CH][C][CH]=[CH],4,3,0
[CH][C][CH]=[O],3,2,1
[CH][C][CH][CH2],4,4,0
[CH][C][CH][CH3],4,5,0
[CH][C][CH][CH],4,3,0
[CH][C][CH][OH],3,3,1
[CH][C][CH][O],3,2,1
[CH][C][C]#[CH],4,2,0
[CH][C][C]=[CH2],4,3,0
[CH][C][C]=[CH],4,2,0
[CH][C][C]=[O],3,1,1
[CH][C][C][CH2],4,3,0
[CH][C][C][CH3],4,4,0
[CH][C][C][CH],4,2,0
[CH][C][C][OH],3,2,1
[CH][C][C][O],3,1,1
[CH][C][O][CH2],3,3,1
[CH][C][O][CH3],3,4,1
[CH][C][O][CH],3,2,1
[CH][C][O][OH],2,2,2
[CH][C][O][O],2,1,2
[CH][O][CH2][CH2],3,5,1
[CH][O][CH2][CH3],3,6,1
[CH][O][CH2][OH],2,4,2
[CH][O][CH2][O],2,3,2
[CH][O][CH]=[CH2],3,4,1
[CH][O][CH]=[CH],3,3,1
[CH][O][CH]=[O],2,2,2
[CH][O][CH][CH2],3,4,1
[CH][O][CH][CH3],3,5,1
[CH][O][CH][OH],2,3,2
[CH][O][CH][O],2,2,2
[CH][O][C]#[CH],3,2,1
[CH][O][C]=[CH2],3,3,1
[CH][O][C]=[CH],3,2,1
[CH][O][C]=[O],2,1,2
[CH][O][C][CH2],3,3,1
[CH][O][C][CH3],3,4,1
[CH][O][C][OH],2,2,2
[CH][O][C][O],2,1,2
[CH][O][O][CH2],2,3,2
[CH][O][O][CH3],2,4,2
[CH][O][O][CH],2,2,2
[CH][O][O][OH],1,2,3
[CH][O][O][O],1,1,3
[C]#[C][CH2][CH2],4,4,0
[C]#[C][CH2][CH3],4,5,0
[C]#[C][CH2][CH],4,3,0
[C]#[C][CH2][OH],3,3,1
[C]#[C][CH2][O],3,2,1
[C]#[C][CH]=[CH2],4,3,0
[C]#[C][CH]=[CH],4,2,0
[C]#[C][CH]=[O],3,1,1
[C]#[C][CH][CH2],4,3,0
[C]#[C][CH][CH3],4,4,0
[C]#[C][CH][CH],4,2,0
[C]#[C][CH][OH],3,2,1
[C]#[C][CH][O],3,1,1
[C]#[C][C]#[CH],4,1,0
[C]#[C][C]#[C],4,0,0
[C]#[C][C]=[CH2],4,2,0
[C]#[C][C]=[CH],4,1,0
[C]#[C][C]=[O],3,0,1
[C]#[C][C][CH2],4,2,0
[C]#[C][C][CH3],4,3,0
[C]#[C][C][CH],4,1,0
[C]#[C][C][OH],3,1,1
[C]#[C][C][O],3,0,1
[C]#[C][O][CH2],3,2,1
[C]#[C][O][CH3],3,3,1
[C]#[C][O][CH],3,1,1
[C]#[C][O][OH],2,1,2
[C]#[C][O][O],2,0,2
[C]1#[C][CH2][CH2]1,4,4,0
[C]1#[C][CH2][CH]1,4,3,0
[C]1#[C][CH]=[CH]1,4,2,0
[C]1#[C][CH][CH]1,4,2,0
[C]1#[C][C]#[C]1,4,0,0
[C]1#[C][O][CH2]1,3,2,1
[C]1#[C][O][CH]1,3,1,1
[C]12=[C]3[CH]1[CH]23,4,2,0
[C]12=[C]3[C]1=[C]23,4,0,0
[C]12[CH]3[CH]1[CH]23,4,3,0
[C]12[C]3=[C]1[CH]23,4,1,0
[C]12[C]3[CH]1[CH]23,4,2,0
[C]12[C]3[C]1=[C]23,4,0,0
[C]12[C]3[C]1[CH]23,4,1,0
[C]12[C]3[C]1[C]23,4,0,0
[C]1=[CH][CH2][CH2]1,4,5,0
[C]1=[CH][CH2][CH]1,4,4,0
[C]1=[CH][CH2][CH]=1,4,4,0
[C]1=[CH][CH2][O]1,3,3,1
[C]1=[CH][CH]=[CH]1,4,3,0
[C]1=[CH][CH]=[C]1,4,2,0
[C]1=[CH][CH][CH2]1,4,4,0
[C]1=[CH][CH][CH]1,4,3,0
[C]1=[CH][CH][CH]=1,4,3,0
[C]1=[CH][CH][O]1,3,2,1
[C]1=[CH][C]#[C]1,4,1,0
[C]1=[CH][C]=[CH]1,4,2,0
[C]1=[CH][O][CH2]1,3,3,1
[C]1=[CH][O][CH]1,3,2,1
[C]1=[CH][O][CH]=1,3,2,1
[C]1=[C]2[CH2][CH]12,4,3,0
[C]1=[C]2[CH2][C]12,4,2,0
[C]1=[C]2[CH2][C]=12,4,2,0
[C]1=[C]2[CH]=[C]12,4,1,0
[C]1=[C]2[CH][CH]12,4,2,0
[C]1=[C]2[CH][C]12,4,1,0
[C]1=[C]2[CH][C]=12,4,1,0
[C]1=[C]2[C]=[C]12,4,0,0
[C]1=[C]2[O][CH]12,3,1,1
[C]1=[C]2[O][C]12,3,0,1
[C]1=[C]2[O][C]=12,3,0,1
[C]1=[C]=[CH][CH2]1,4,3,0
[C]1=[C]=[CH][CH]1,4,2,0
[C]1=[C]=[CH][CH]=1,4,2,0
[C]1=[C]=[CH][O]1,3,1,1
[C]1=[C]=[C]=[CH]1,4,1,0
[C]1=[C]=[C]=[C]1,4,0,0
[C]1=[C]=[C]=[C]=1,4,0,0
[C]1=[C]=[C][CH2]1,4,2,0
[C]1=[C]=[C][CH]1,4,1,0
[C]1=[C]=[C][O]1,3,0,1
[C]1=[C][CH2][CH2]1,4,4,0
[C]1=[C][CH2][CH]1,4,3,0
[C]1=[C][CH]=[CH]1,4,2,0
[C]1=[C][CH]=[C]1,4,1,0
[C]1=[C][CH][CH]1,4,2,0
[C]1=[C][C]#[C]1,4,0,0
[C]1=[C][C]=[C]1,4,0,0
[C]1=[C][O][CH2]1,3,2,1
[C]1=[C][O][CH]1,3,1,1
[C]1[CH2][CH2][CH2]1,4,6,0
[C]1[CH2][CH2][O]1,3,4,1
[C]1[CH2][CH][CH2]1,4,5,0
[C]1[CH2][CH][O]1,3,3,1
[C]1[CH2][C][CH2]1,4,4,0
[C]1[CH2][C][O]1,3,2,1
[C]1[CH2][O][CH2]1,3,4,1
[C]1[CH2][O][O]1,2,2,2
[C]1[CH]2[CH2][CH]12,4,4,0
[C]1[CH]2[CH][CH]12,4,3,0
[C]1[CH]2[C][CH]12,4,2,0
[C]1[CH]2[O][CH]12,3,2,1
[C]1[CH]=[CH][CH2]1,4,4,0
[C]1[CH]=[CH][O]1,3,2,1
[C]1[CH]=[C]=[CH]1,4,2,0
[C]1[CH]=[C][CH2]1,4,3,0
[C]1[CH]=[C][O]1,3,1,1
[C]1[CH][CH2][CH2]1,4,5,0
[C]1[CH][CH2][CH]1,4,4,0
[C]1[CH][CH2][O]1,3,3,1
[C]1[CH][CH]=[CH]1,4,3,0
[C]1[CH][CH][CH2]1,4,4,0
[C]1[CH][CH][CH]1,4,3,0
[C]1[CH][CH][O]1,3,2,1
[C]1[CH][C]=[CH]1,4,2,0
[C]1[CH][C][CH2]1,4,3,0
[C]1[CH][C][CH]1,4,2,0
[C]1[CH][C][O]1,3,1,1
[C]1[CH][O][CH2]1,3,3,1
[C]1[CH][O][CH]1,3,2,1
[C]1[CH][O][O]1,2,1,2
[C]1[C]#[C][CH2]1,4,2,0
[C]1[C]#[C][CH]1,4,1,0
[C]1[C]#[C][O]1,3,0,1
[C]1[C]2=[CH][CH]12,4,2,0
[C]1[C]2=[C]1[CH2]2,4,2,0
[C]1[C]2=[C]1[CH]2,4,1,0
[C]1[C]2=[C]1[C]2,4,0,0
[C]1[C]2=[C]1[O]2,3,0,1
[C]1[C]2=[C]=[C]12,4,0,0
[C]1[C]2=[C][CH]12,4,1,0
[C]1[C]2[CH2][CH]12,4,3,0
[C]1[C]2[CH2][C]12,4,2,0
[C]1[C]2[CH]=[C]12,4,1,0
[C]1[C]2[CH][CH]12,4,2,0
[C]1[C]2[CH][C]12,4,1,0
[C]1[C]2[C]=[C]12,4,0,0
[C]1[C]2[C][CH]12,4,1,0
[C]1[C]2[C][C]12,4,0,0
[C]1[C]2[O][CH]12,3,1,1
[C]1[C]2[O][C]12,3,0,1
[C]1[C]=[CH][CH2]1,4,3,0
[C]1[C]=[CH][CH]1,4,2,0
[C]1[C]=[CH][O]1,3,1,1
[C]1[C]=[C]=[CH]1,4,1,0
[C]1[C]=[C]=[C]1,4,0,0
[C]1[C]=[C][CH2]1,4,2,0
[C]1[C]=[C][CH]1,4,1,0
[C]1[C]=[C][O]1,3,0,1
[C]1[C][CH2][CH2]1,4,4,0
[C]1[C][CH2][CH]1,4,3,0
[C]1[C][CH2][C]1,4,2,0
[C]1[C][CH]=[CH]1,4,2,0
[C]1[C][CH]=[C]1,4,1,0
[C]1[C][CH][CH]1,4,2,0
[C]1[C][CH][C]1,4,1,0
[C]1[C][C]#[C]1,4,0,0
[C]1[C][C]=[C]1,4,0,0
[C]1[C][C][C]1,4,0,0
[C]1[C][O][CH2]1,3,2,1
[C]1[C][O][CH]1,3,1,1
[C]1[C][O][C]1,3,0,1
[C]1[C][O][O]1,2,0,2
[C]1[O][CH2][O]1,2,2,2
[C]1[O][CH][O]1,2,1,2
[C]1[O][C][O]1,2,0,2
[C]1[O][O][O]1,1,0,3
[C]=[CH][CH2][CH2],4,5,0
[C]=[CH][CH2][CH3],4,6,0
[C]=[CH][CH2][CH],4,4,0
[C]=[CH][CH2][OH],3,4,1
[C]=[CH][CH2][O],3,3,1
[C]=[CH][CH]=[CH2],4,4,0
[C]=[CH][CH]=[CH],4,3,0
[C]=[CH][CH]=[C],4,2,0
[C]=[CH][CH]=[O],3,2,1
[C]=[CH][CH][CH2],4,4,0
[C]=[CH][CH][CH3],4,5,0
[C]=[CH][CH][CH],4,3,0
[C]=[CH][CH][OH],3,3,1
[C]=[CH][CH][O],3,2,1
[C]=[CH][C]#[CH],4,2,0
[C]=[CH][C]#[C],4,1,0
[C]=[CH][C]=[CH2],4,3,0
[C]=[CH][C]=[CH],4,2,0
[C]=[CH][C]=[O],3,1,1
[C]=[CH][C][CH2],4,3,0
[C]=[CH][C][CH3],4,4,0
[C]=[CH][C][CH],4,2,0
[C]=[CH][C][OH],3,2,1
[C]=[CH][C][O],3,1,1
[C]=[CH][O][CH2],3,3,1
[C]=[CH][O][CH3],3,4,1
[C]=[CH][O][CH],3,2,1
[C]=[CH][O][OH],2,2,2
[C]=[CH][O][O],2,1,2
[C]=[C]([CH2])[CH2],4,4,0
[C]=[C]([CH2])[CH3],4,5,0
[C]=[C]([CH2])[OH],3,3,1
[C]=[C]([CH2])[O],3,2,1
[C]=[C]([CH3])[CH3],4,6,0
[C]=[C]([CH3])[OH],3,4,1
[C]=[C]([CH3])[O],3,3,1
[C]=[C]([CH])[CH2],4,3,0
[C]=[C]([CH])[CH3],4,4,0
[C]=[C]([CH])[CH],4,2,0
[C]=[C]([CH])[OH],3,2,1
[C]=[C]([CH])[O],3,1,1
[C]=[C]([OH])[OH],2,2,2
[C]=[C]([O])[OH],2,1,2
[C]=[C]([O])[O],2,0,2
[C]=[C]1[CH2][CH2]1,4,4,0
[C]=[C]1[CH2][O]1,3,2,1
[C]=[C]1[CH]=[CH]1,4,2,0
[C]=[C]1[CH][CH2]1,4,3,0
[C]=[C]1[CH][CH]1,4,2,0
[C]=[C]1[CH][O]1,3,1,1
[C]=[C]1[C]#[C]1,4,0,0
[C]=[C]1[C]=[CH]1,4,1,0
[C]=[C]1[C]=[C]1,4,0,0
[C]=[C]1[C][CH2]1,4,2,0
[C]=[C]1[C][CH]1,4,1,0
[C]=[C]1[C][C]1,4,0,0
[C]=[C]1[C][O]1,3,0,1
[C]=[C]1[O][O]1,2,0,2
[C]=[C]=[CH][CH2],4,3,0
[C]=[C]=[CH][CH3],4,4,0
[C]=[C]=[CH][CH],4,2,0
[C]=[C]=[CH][OH],3,2,1
[C]=[C]=[CH][O],3,1,1
[C]=[C]=[C]=[CH2],4,2,0
[C]=[C]=[C]=[CH],4,1,0
[C]=[C]=[C]=[C],4,0,0
[C]=[C]=[C]=[O],3,0,1
[C]=[C]=[C][CH2],4,2,0
[C]=[C]=[C][CH3],4,3,0
[C]=[C]=[C][CH],4,1,0
[C]=[C]=[C][OH],3,1,1
[C]=[C]=[C][O],3,0,1
[C]=[C][CH2][CH2],4,4,0
[C]=[C][CH2][CH3],4,5,0
[C]=[C][CH2][CH],4,3,0
[C]=[C][CH2][OH],3,3,1
[C]=[C][CH2][O],3,2,1
[C]=[C][CH]=[CH2],4,3,0
[C]=[C][CH]=[CH],4,2,0
[C]=[C][CH]=[C],4,1,0
[C]=[C][CH]=[O],3,1,1
[C]=[C][CH][CH2],4,3,0
[C]=[C][CH][CH3],4,4,0
[C]=[C][CH][CH],4,2,0
[C]=[C][CH][OH],3,2,1
[C]=[C][CH][O],3,1,1
[C]=[C][C]#[CH],4,1,0
[C]=[C][C]#[C],4,0,0
[C]=[C][C]=[CH2],4,2,0
[C]=[C][C]=[CH],4,1,0
[C]=[C][C]=[C],4,0,0
[C]=[C][C]=[O],3,0,1
[C]=[C][C][CH2],4,2,0
[C]=[C][C][CH3],4,3,0
[C]=[C][C][CH],4,1,0
[C]=[C][C][OH],3,1,1
[C]=[C][C][O],3,0,1
[C]=[C][O][CH2],3,2,1
[C]=[C][O][CH3],3,3,1
[C]=[C][O][CH],3,1,1
[C]=[C][O][OH],2,1,2
[C]=[C][O][O],2,0,2
[C][CH2][CH2][CH2],4,6,0
[C][CH2][CH2][CH3],4,7,0
[C][CH2][CH2][CH],4,5,0
[C][CH2][CH2][C],4,4,0
[C][CH2][CH2][OH],3,5,1
[C][CH2][CH2][O],3,4,1
[C][CH2][CH]=[CH2],4,5,0
[C][CH2][CH]=[CH],4,4,0
[C][CH2][CH]=[C],4,3,0
[C][CH2][CH]=[O],3,3,1
[C][CH2][CH][CH2],4,5,0
[C][CH2][CH][CH3],4,6,0
[C][CH2][CH][CH],4,4,0
[C][CH2][CH][OH],3,4,1
[C][CH2][CH][O],3,3,1
[C][CH2][C]#[CH],4,3,0
[C][CH2][C]#[C],4,2,0
[C][CH2][C]=[CH2],4,4,0
[C][CH2][C]=[CH],4,3,0
[C][CH2][C]=[C],4,2,0
[C][CH2][C]=[O],3,2,1
[C][CH2][C][CH2],4,4,0
[C][CH2][C][CH3],4,5,0
[C][CH2][C][CH],4,3,0
[C][CH2][C][OH],3,3,1
[C][CH2][C][O],3,2,1
[C][CH2][O][CH2],3,4,1
[C][CH2][O][CH3],3,5,1
[C][CH2][O][CH],3,3,1
[C][CH2][O][C],3,2,1
[C][CH2][O][OH],2,3,2
[C][CH2][O][O],2,2,2
[C][CH]([CH2])[CH2],4,5,0
[C][CH]([CH2])[CH3],4,6,0
[C][CH]([CH2])[OH],3,4,1
[C][CH]([CH2])[O],3,3,1
[C][CH]([CH3])[CH3],4,7,0
[C][CH]([CH3])[OH],3,5,1
[C][CH]([CH3])[O],3,4,1
[C][CH]([CH])[CH2],4,4,0
[C][CH]([CH])[CH3],4,5,0
[C][CH]([CH])[CH],4,3,0
[C][CH]([CH])[OH],3,3,1
[C][CH]([CH])[O],3,2,1
[C][CH]([C])[CH2],4,3,0
[C][CH]([C])[CH3],4,4,0
[C][CH]([C])[CH],4,2,0
[C][CH]([C])[C],4,1,0
[C][CH]([C])[OH],3,2,1
[C][CH]([C])[O],3,1,1
[C][CH]([OH])[OH],2,3,2
[C][CH]([O])[OH],2,2,2
[C][CH]([O])[O],2,1,2
[C][CH]1[CH2][CH2]1,4,5,0
[C][CH]1[CH2][O]1,3,3,1
[C][CH]1[CH]=[CH]1,4,3,0
[C][CH]1[CH][CH2]1,4,4,0
[C][CH]1[CH][CH]1,4,3,0
[C][CH]1[CH][O]1,3,2,1
[C][CH]1[C]#[C]1,4,1,0
[C][CH]1[C]=[CH]1,4,2,0
[C][CH]1[C]=[C]1,4,1,0
[C][CH]1[C][CH2]1,4,3,0
[C][CH]1[C][CH]1,4,2,0
[C][CH]1[C][C]1,4,1,0
[C][CH]1[C][O]1,3,1,1
[C][CH]1[O][O]1,2,1,2
[C][CH]=[CH][CH2],4,4,0
[C][CH]=[CH][CH3],4,5,0
[C][CH]=[CH][CH],4,3,0
[C][CH]=[CH][C],4,2,0
[C][CH]=[CH][OH],3,3,1
[C][CH]=[CH][O],3,2,1
[C][CH]=[C]=[CH2],4,3,0
[C][CH]=[C]=[CH],4,2,0
[C][CH]=[C]=[C],4,1,0
[C][CH]=[C]=[O],3,1,1
[C][CH]=[C][CH2],4,3,0
[C][CH]=[C][CH3],4,4,0
[C][CH]=[C][CH],4,2,0
[C][CH]=[C][OH],3,2,1
[C][CH]=[C][O],3,1,1
[C][CH][CH2][CH2],4,5,0
[C][CH][CH2][CH3],4,6,0
[C][CH][CH2][CH],4,4,0
[C][CH][CH2][C],4,3,0
[C][CH][CH2][OH],3,4,1
[C][CH][CH2][O],3,3,1
[C][CH][CH]=[CH2],4,4,0
[C][CH][CH]=[CH],4,3,0
[C][CH][CH]=[C],4,2,0
[C][CH][CH]=[O],3,2,1
[C][CH][CH][CH2],4,4,0
[C][CH][CH][CH3],4,5,0
[C][CH][CH][CH],4,3,0
[C][CH][CH][C],4,2,0
[C][CH][CH][OH],3,3,1
[C][CH][CH][O],3,2,1
[C][CH][C]#[CH],4,2,0
[C][CH][C]#[C],4,1,0
[C][CH][C]=[CH2],4,3,0
[C][CH][C]=[CH],4,2,0
[C][CH][C]=[C],4,1,0
[C][CH][C]=[O],3,1,1
[C][CH][C][CH2],4,3,0
[C][CH][C][CH3],4,4,0
[C][CH][C][CH],4,2,0
[C][CH][C][OH],3,2,1
[C][CH][C][O],3,1,1
[C][CH][O][CH2],3,3,1
[C][CH][O][CH3],3,4,1
[C][CH][O][CH],3,2,1
[C][CH][O][C],3,1,1
[C][CH][O][OH],2,2,2
[C][CH][O][O],2,1,2
[C][C]#[C][CH2],4,2,0
[C][C]#[C][CH3],4,3,0
[C][C]#[C][CH],4,1,0
[C][C]#[C][C],4,0,0
[C][C]#[C][OH],3,1,1
[C][C]#[C][O],3,0,1
[C][C](=[CH2])[CH3],4,5,0
[C][C](=[CH2])[OH],3,3,1
[C][C](=[CH2])[O],3,2,1
[C][C](=[CH])[CH2],4,3,0
[C][C](=[CH])[CH3],4,4,0
[C][C](=[CH])[OH],3,2,1
[C][C](=[CH])[O],3,1,1
[C][C](=[C])[CH2],4,2,0
[C][C](=[C])[CH3],4,3,0
[C][C](=[C])[CH],4,1,0
[C][C](=[C])[OH],3,1,1
[C][C](=[C])[O],3,0,1
[C][C](=[O])[OH],2,1,2
[C][C]([CH2])=[CH2],4,4,0
[C][C]([CH2])=[O],3,2,1
[C][C]([CH2])[CH2],4,4,0
[C][C]([CH2])[CH3],4,5,0
[C][C]([CH2])[OH],3,3,1
[C][C]([CH2])[O],3,2,1
[C][C]([CH3])=[O],3,3,1
[C][C]([CH3])[CH3],4,6,0
[C][C]([CH3])[OH],3,4,1
[C][C]([CH3])[O],3,3,1
[C][C]([CH])=[CH2],4,3,0
[C][C]([CH])=[CH],4,2,0
[C][C]([CH])=[O],3,1,1
[C][C]([CH])[CH2],4,3,0
[C][C]([CH])[CH3],4,4,0
[C][C]([CH])[CH],4,2,0
[C][C]([CH])[OH],3,2,1
[C][C]([CH])[O],3,1,1
[C][C]([C])=[CH2],4,2,0
[C][C]([C])=[CH],4,1,0
[C][C]([C])=[C],4,0,0
[C][C]([C])=[O],3,0,1
[C][C]([C])[CH2],4,2,0
[C][C]([C])[CH3],4,3,0
