,0
0,[C]~[C]
1,[CH4]
2,[CH3][OH]
3,[CH]#[CH]
4,[CH2]=[O]
5,[CH3][CH3]
6,[OH2]
7,[CH2]=[CH2]
8,[O]=[O]
9,[OH][OH]
10,[O]~[O]
11,[CH]~[CH]
12,[CH2]~[CH2]
13,[C]$[C]
14,[CH2]~[O]
